text,48,54
"""Das Ordnungsamt sagt laut Stadt-Pressesprecherin Marit Schulte-Zakotnik zu, Streifen des Außendienstes verstärkt rund um das Haus der Jugend einzusetzen."" Aber bitte in zivil, sonst werden die Täter nur temporär verscheucht, und der Spaziergang des Ordnungsamt-Mitarbeiters ist verschwendetes Steuergeld! Sobald er weg ist, wird weiter gedealt. Die Tarnkappen von Polizei und Ordnungsamt funktionieren nicht wirklich. ",Not Hatespeech,Not Hatespeech
"""schön""...jetzt werden schon 11jährige von Horden verprügelt....mannmannmann...was ist aus Deutschland und Rosenheim geworden.Ich vermeide es inzwischen in die Stadt zu gehen, ganz ehrlich, weil ich diese, mit Verlaub, herumlungernden jugendlichen arabischen Hackfressen mit Einheitsfrisur nicht mehr ertrage genauso wie deren Kopftuchschwestern! ",Hatespeech,Hatespeech
(http://www.replicaairguns.com/posts/2012/7/9/bb-guns-versus-airsoft-guns-pros-cons.html) ,Not Hatespeech,Not Hatespeech
*Gähn*Nur das Pokalfinale wird langweiliger ... ,Not Hatespeech,Not Hatespeech
"A Fahndl im Wind, oder auf deutsch: a Politiker ",Not Hatespeech,Not Hatespeech
"Aber nimmer, wenn Du auch dort bist... ",Not Hatespeech,Not Hatespeech
"Aha, so so.... ",Not Hatespeech,Not Hatespeech
Alles Osteuropäer. ,Hatespeech,Hatespeech
"Auf meiner Party kriegst auch mal eine ab! Für nen guten Zweck opfert sich immer irgendeine, die sonst keinen abkriegt! Dann hast du mal ein Erfolgserlebnis abseits des FCBs! hach, hattest du ja letzte Saison eh nicht ;-) Na dann wirds wirklich Zeit! Dritter Stock, zweite Tür von links, bei Kiss my ass klingeln!  ",Hatespeech,Hatespeech
Ausländische Täter....der Normalfall halt. ,Hatespeech,Hatespeech
Bei sowas sollte die UEFA nach dem Spiel noch eine Sperre aussprechen. Unsportlicher geht kaum... ,Not Hatespeech,Not Hatespeech
Beim Pokern musst du kühl und überlegt vorgehen. MK ist ein ziemlich gute Pokerspieler. Er kam bei mehreren Pokerturnieren ins Preisgeld.Das Pokern von MK ist also im Gegenteil ein sehr gutes Vorzeichen! ,Not Hatespeech,Not Hatespeech
"Dann finde ich es absolut diskriminierend, dass es den Begriff ""Depp"" nur als männliche Form gibt. Also zukünftig ""Deppinnen und Deppen"". Wenn man aber so einen Schwachsinn vom BR liest, dann ist's klar, dass es vielgenug männliche DeppinnenDeppen gibt. ""Vollpfosten"", ""Vollhorst"", ""Hirndübel"" und alle Schimpfwörter für geistig minderbemittelten müssen aber auch unbedingt auch in weibliche Formen transformiert und transportiert werden!!!! ",Hatespeech,Hatespeech
Dann unterlasse das bitte in Zukunft. ,Not Hatespeech,Not Hatespeech
"Das werden die Scouts mit Sicherheit nicht an die TZ melden, wen/wann/wo sie beobachten. ",Not Hatespeech,Not Hatespeech
Dass es Dir nicht langsam selbst zu blöd wird? Jeden Tag dieses dumme Gesabber und Gelaber! ,Hatespeech,Hatespeech
"Die Balten habe ich garnicht erwähnt...die waren auf jeden Fall eifriger, das ist richtig. ",Not Hatespeech,Not Hatespeech
"Du bist so dämlich, dass es pfeift, Heinz. Du hältst gerade einen deiner Kumpels für EE, weil du nicht lesen kannst und den Kommentar von Onkel Fritz missverstanden hast. ",Hatespeech,Hatespeech
Ein Strauß-Ei!Zimmerner Bürger fangt an zu sparen.Es ist Euer Beitrag zur Selbständigkeit! ,Not Hatespeech,Not Hatespeech
"Eine Polizeistation zerstört. Offenbar ein Volltreffer! Nun scheint die Hamas genügend geschwächt um mit gezielten Drohnenangriffen einzelne Führungsmitglieder der Hamas auszuschalten bzw. die Hamas weiter unter psychologischem Druck zu halten. Gegen die Terroristen muss nötige Härte gezeigt werden, um ihnen klar zu machen, dass Gewalt nicht zielführend ist. ",Not Hatespeech,Not Hatespeech
"Eine Verpflichtung zur Umsetzung der Wahlversprechen sollte im Grundgesetz sollte verankert werden. Wenn diese nicht erfüllt werden müssen die Bezüge für diese Legislaturperiode zurückgezahlt werden. Ja, musste beim schreiben selber lachen aber träumen darf man noch... ",Not Hatespeech,Not Hatespeech
"Es ist ja nicht nach Belieben..Der Irak kann seine Grenzen nicht schützen..die Türkei nimmt es sodann selbst in die Hand..würde jedes Land tun..der Irak ist doch (leider) kein Staat mehr, auf dessen Stabilität die Türkei setzen kann..also mMn macht die Türkei genau das Richtige. ",Not Hatespeech,Not Hatespeech
Geht es noch dämlicher. ,Hatespeech,Not Hatespeech
Genau. Die Integration ist völlig gescheitert. Vielen Dank für das Ansprechen dieser bedauerlichen Tatsachen! ,Not Hatespeech,Not Hatespeech
"Gleiches denke ich auch, doch die Entwicklung scheint unseren Wünschen nicht gut gesonnen. ",Not Hatespeech,Not Hatespeech
"Gute Antwort auf meine Frage. Mich wundert nicht, dass abermals nichts kommt ",Not Hatespeech,Not Hatespeech
"Hallo ist das Antenne Bayern. Ja das ist Antenne Bayern, welche Wunschsong hast du.Ich hätte gerne ""Jump"" von Van Halen. ich bin böse - ich weiss es. ",Not Hatespeech,Not Hatespeech
"Hey, nicht die Germeringer mobben! ",Not Hatespeech,Not Hatespeech
"Hilfsbereit wie ich bin, wollte ich Ihnen doch nur helfen, Klares zu verstehen. Denn alleine haben Sie es nicht geschafft. ",Hatespeech,Hatespeech
Ich finde den Vergleich von islamistischen Fanatikern und Kopfabschneidern mit prominenten Emigranten wie Albert Einstein oder Heinrich Mann irgendwie nicht ganz zutreffend. ,Hatespeech,Hatespeech
"Komisch, dass ihr immer nur mit Symbolbildern arbeitet.Sind auch die Texte nur symbolisch? ",Not Hatespeech,Not Hatespeech
Mein Motto: Leben und leben lassen ! Aber bei Wesen wie Dir würd´ ich da sogar mal eine Ausnahme ..... ,Hatespeech,Hatespeech
Mia düst gar nix leid : ))) ,Not Hatespeech,Not Hatespeech
"Petra, ich für meinen Teil hatte nur für mich selbst gesprochen. ICH tue mir Hasspostings und rechtsextreme Sprüche auf Facebook etc. nicht an. Was den Fall Lübcke betrifft, den hatte ich jetzt erstmal nicht damit gemeint. Das bedeutet allerdings auf keinen Fall, dass ich da naiv oder nicht informiert etc bin. -  Offensichtlich meinten Sie nämlich doch mich mit Ihrem Kommentar zuvor an Waldecker, der wieder mal ablästerte über mich. Nicht dass ich mich wichtig nehme oder gar selbstgerecht... ",Not Hatespeech,Not Hatespeech
"Soll ich mich jetzt ärgern, dass mich Leute kritisieren, die nicht mal das Wort lustig richtig schreiben können?! ",Not Hatespeech,Not Hatespeech
"Sorry, aber bei dem Trainer bin ich mit meinem Latein am Ende, der rafft es einfach nicht. Wer so ne Krücke wie Lammers in so ein Spiel einwechselt, dem fehlt doch komplett der Durchblick! ",Not Hatespeech,Not Hatespeech
Uli und die Lemminge...😆😂😃🤣 ,Hatespeech,Hatespeech
"Um Söders Geisteszustand zu verdeutlichen:Mein Kind ging heute ins Hallenbad.Als Zutrittsberechtigung ist nicht die 2.Impfung gültig, weil die erst 10 Tage her ist.Als Zutrittsberechtigung gilt eine Zeugniskopie, weil die beweist, dass mein Kind vor 4 Wochen in der Schule negativ getestet wurde. ",Not Hatespeech,Not Hatespeech
Und geheult hat der Boateng auch wie a Mädchen ,Hatespeech,Not Hatespeech
Unsachliche Furie. Kommst wieder inhaltlich nicht mit. ,Hatespeech,Hatespeech
"Viele Muslime scheissen auf deutsche Gesetze. Wenn die Polizei gegen die vorgeht, dann sind das ja Nazis und Rassisten..... Wir müssen die Täter abschieben und nie mehr ins Land lassen. ",Hatespeech,Hatespeech
"Wahnsinn - Frost und Schnee im Hochwinter!Obwohl: Wenn ich aus dem Fenster schaue, dann muss ich mir ob der Hysterie schon die Frage stellen, was da vor 40 oder 50 Jahren losgewesen wäre. Ende der '70er war ich auf einem Lehrgang, da habe ich am Freitag mittag mein Auto nur gesehen, weil ich eine lange CB-Antenne auf dem Dach hatte... ",Not Hatespeech,Not Hatespeech
Was soll man sagen: Der Kampf gegen die vermeintlichen Nazis bringt lauter echte hervor. ,Hatespeech,Not Hatespeech
"Was würdet ihr ohne euer Mutterblatt ""BILD"" machen? ",Not Hatespeech,Not Hatespeech
"Wer regiert eigentlich in Berlin und ist für die Justiz /Sicherheit verantwortlich. Auf jeden Fall sind die Täter gut integriert, bei diesen professionellen Vorgehen. ",Hatespeech,Hatespeech
Wie gehts eigentlich der Matchbox Firma im Kinderzimmer? ,Not Hatespeech,Not Hatespeech
"Wohl eher ne 4, weil nicht 2stellig verloren. ",Not Hatespeech,Not Hatespeech
blödsinn... dreht ihr jetzt voll durch? ,Not Hatespeech,Not Hatespeech
mGYoNNA9Su ,Not Hatespeech,Not Hatespeech
wurde nicht letztens ein türkisches Video hochgeladen in dem besprochen wird wie man in den Krieg in Syrien eingreifen kann indem man türkische Agenten nach Syrien schleust die das eigene Land mit Raketen angreifen sollen? Sieht so aus als wurde der Plan umgesetzt... ,Not Hatespeech,Not Hatespeech
wurden die nicht abgelehnt? ,Not Hatespeech,Not Hatespeech
"Ähm, entschuldige mal, Du Tröte, warum willst Du Piefke mit meinem Namen ansprechen? Nur weil wir beide eine ähnliche Meinung haben, die  Deinem auf Hingabe und treuer Gefolgsamkeit gegenüber Thomas Schaaf beruhendes Weltbild widerspricht? Glaub mir, es gibt genügend Leute, die Schaaf kritisch sehen... ",Hatespeech,Hatespeech
